Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Petalarea(cm^2)
1,5.1,3.0462068965517246,1.4,0.2,Iris-setosa,0.27999999999999997
2,4.9,3.0462068965517246,1.4,0.2,Iris-setosa,0.27999999999999997
3,4.7,3.0462068965517246,1.3,0.2,Iris-setosa,0.26
4,4.6,3.0462068965517246,1.5,0.2,Iris-setosa,0.30000000000000004
5,5.0,3.0462068965517246,1.4,0.2,Iris-setosa,0.27999999999999997
6,5.4,3.9,1.7,0.4,Iris-setosa,0.68
7,4.6,3.4,1.4,0.3,Iris-setosa,0.42
8,5.0,3.4,1.5,0.2,Iris-setosa,0.30000000000000004
9,4.4,2.9,1.4,0.2,Iris-setosa,0.27999999999999997
10,4.9,3.1,1.5,0.1,Iris-setosa,0.15000000000000002
11,5.4,3.7,1.5,0.2,Iris-setosa,0.30000000000000004
12,4.8,3.4,1.6,0.2,Iris-setosa,0.32000000000000006
13,4.8,3.0,1.4,0.1,Iris-setosa,0.13999999999999999
14,4.3,3.0,1.1,0.1,Iris-setosa,0.11000000000000001
15,5.8,4.0,1.2,0.2,Iris-setosa,0.24
16,5.7,4.4,1.5,0.4,Iris-setosa,0.6000000000000001
17,5.4,3.9,1.3,0.4,Iris-setosa,0.52
18,5.1,3.5,1.4,0.3,Iris-setosa,0.42
19,5.7,3.8,1.7,0.3,Iris-setosa,0.51
20,5.1,3.8,1.5,0.3,Iris-setosa,0.44999999999999996
21,5.4,3.4,1.7,0.2,Iris-setosa,0.34
22,5.1,3.7,1.5,0.4,Iris-setosa,0.6000000000000001
23,4.6,3.6,1.0,0.2,Iris-setosa,0.2
24,5.1,3.3,1.7,0.5,Iris-setosa,0.85
25,4.8,3.4,1.9,0.2,Iris-setosa,0.38
26,5.0,3.0,1.6,0.2,Iris-setosa,0.32000000000000006
27,5.0,3.4,1.6,0.4,Iris-setosa,0.6400000000000001
28,5.2,3.5,1.5,0.2,Iris-setosa,0.30000000000000004
29,5.2,3.4,1.4,0.2,Iris-setosa,0.27999999999999997
30,4.7,3.2,1.6,0.2,Iris-setosa,0.32000000000000006
31,4.8,3.1,1.6,0.2,Iris-setosa,0.32000000000000006
32,5.4,3.4,1.5,0.4,Iris-setosa,0.6000000000000001
33,5.2,4.1,1.5,0.1,Iris-setosa,0.15000000000000002
34,5.5,4.2,1.4,0.2,Iris-setosa,0.27999999999999997
35,4.9,3.1,1.5,0.1,Iris-setosa,0.15000000000000002
36,5.0,3.2,1.2,0.2,Iris-setosa,0.24
37,5.5,3.5,1.3,0.2,Iris-setosa,0.26
